Ticker,Date,Price,Action,Volume,Predicted_Return,Sentiment_Score
TYL,2025-02-28,606.79,BUY,14,0,0
GIB,2025-02-28,110.64,BUY,15,0,0
NOK,2025-02-28,4.82,BUY,21,0,0
CDW,2025-02-28,179.0,BUY,15,0,0
CPAY,2025-02-28,365.18,BUY,23,0,0
ZM,2025-02-28,72.88,BUY,11,0,0
GDDY,2025-02-28,175.19,SELL,12,0,0
NTAP,2025-02-28,99.325,BUY,27,0,0
GFS,2025-02-28,38.55,SELL,11,0,0
WDC,2025-02-28,48.33,BUY,27,0,0
STM,2025-02-28,24.54,BUY,12,0,0
CHKP,2025-02-28,216.96,SELL,4,0,0
ASX,2025-02-28,10.04,BUY,20,0,0
AFRM,2025-02-28,60.59,BUY,3,0,0
TDY,2025-02-28,502.07,SELL,36,0,0
VRSN,2025-02-28,234.7,BUY,0,0,0
TOST,2025-02-28,37.21,BUY,17,0,0
SSNC,2025-02-28,88.37,SELL,8,0,0
STX,2025-02-28,100.25,SELL,13,0,0
UI,2025-02-28,330.1,BUY,14,0,0
PTC,2025-02-28,163.43,BUY,6,0,0
KSPI,2025-02-28,102.82,BUY,4,0,0
CYBR,2025-02-28,351.9,BUY,13,0,0
GRAB,2025-02-28,4.78,BUY,12,0,0
NTNX,2025-02-28,75.8,SELL,12,0,0
DUOL,2025-02-28,325.06,SELL,5,0,0
DT,2025-02-28,57.0,BUY,8,0,0
TWLO,2025-02-28,117.0,SELL,40,0,0
GWRE,2025-02-28,197.87,SELL,29,0,0
DOCU,2025-02-28,81.02,BUY,17,0,0
GEN,2025-02-28,27.31,SELL,25,0,0
AZPN,2025-02-28,264.2,SELL,10,0,0
UMC,2025-02-28,6.4,SELL,33,0,0
LOGI,2025-02-28,98.36,BUY,33,0,0
CLS,2025-02-28,103.31,BUY,20,0,0
AKAM,2025-02-28,79.68,SELL,37,0,0
ALAB,2025-02-28,72.795,SELL,6,0,0
AUR,2025-02-28,6.93,SELL,19,0,0
COHR,2025-02-28,74.0,SELL,1,0,0
EPAM,2025-02-28,208.3,BUY,5,0,0
CIEN,2025-02-28,77.27,SELL,28,0,0
SNX,2025-02-28,137.53,BUY,10,0,0
JNPR,2025-02-28,36.03,BUY,8,0,0
CRDO,2025-02-28,50.54,SELL,24,0,0
KVYO,2025-02-28,39.4,BUY,26,0,0
WIX,2025-02-28,199.07,SELL,11,0,0
PAYC,2025-02-28,216.16,BUY,6,0,0
ESTC,2025-02-28,113.0,SELL,3,0,0
U,2025-02-28,25.5,SELL,5,0,0
CFLT,2025-02-28,31.33,SELL,14,0,0
SWKS,2025-02-28,65.59,BUY,9,0,0
GTLB,2025-02-28,59.99,BUY,19,0,0
DAY,2025-02-28,61.7,BUY,40,0,0
DOX,2025-02-28,88.28,SELL,9,0,0
DSGX,2025-02-28,110.29,SELL,6,0,0
ALTR,2025-02-28,111.5,BUY,10,0,0
G,2025-02-28,52.52,SELL,17,0,0
NICE,2025-02-28,142.8,SELL,9,0,0
MTSI,2025-02-28,111.96,SELL,5,0,0
KD,2025-02-28,37.52,BUY,16,0,0
FOUR,2025-02-28,95.565,SELL,7,0,0
ASTS,2025-02-28,25.47,SELL,1,0,0
FN,2025-02-28,193.8,BUY,18,0,0
EXLS,2025-02-28,48.32,BUY,0,0,0
APPF,2025-02-28,211.89,SELL,31,0,0
CACI,2025-02-28,332.84,BUY,15,0,0
CWAN,2025-02-28,29.92,SELL,15,0,0
IONQ,2025-02-28,24.04,BUY,18,0,0
S,2025-02-28,20.12,BUY,23,0,0
MKSI,2025-02-28,91.79,SELL,7,0,0
QRVO,2025-02-28,70.39,SELL,39,0,0
OTEX,2025-02-28,25.93,SELL,25,0,0
VERX,2025-02-28,33.51,SELL,31,0,0
PEGA,2025-02-28,76.01,BUY,2,0,0
NXT,2025-02-28,44.59,BUY,30,0,0
OLED,2025-02-28,150.94,BUY,7,0,0
SRAD,2025-02-28,21.0,SELL,1,0,0
PSN,2025-02-28,58.45,SELL,8,0,0
BMI,2025-02-28,207.08,BUY,17,0,0
LFUS,2025-02-28,232.63,BUY,3,0,0
WEX,2025-02-28,157.32,SELL,7,0,0
PONY,2025-02-28,15.8,SELL,1,0,0
OS,2025-02-28,22.81,BUY,6,0,0
BILL,2025-02-28,53.69,SELL,6,0,0
AMKR,2025-02-28,20.88,BUY,23,0,0
LYFT,2025-02-28,12.87,SELL,1,0,0
INGM,2025-02-28,21.46,SELL,10,0,0
SPSC,2025-02-28,132.24,BUY,4,0,0
FRSH,2025-02-28,16.91,SELL,22,0,0
INTA,2025-02-28,63.46,BUY,6,0,0
NSIT,2025-02-28,152.32,SELL,12,0,0
TSEM,2025-02-28,41.97,BUY,1,0,0
RELY,2025-02-28,23.7,SELL,7,0,0
ZETA,2025-02-28,16.08,SELL,11,0,0
NOVT,2025-02-28,145.49,BUY,8,0,0
QLYS,2025-02-28,130.74,BUY,22,0,0
ALGM,2025-02-28,21.71,BUY,12,0,0
SAIC,2025-02-28,99.55,BUY,14,0,0
ASAN,2025-02-28,19.09,BUY,24,0,0
SANM,2025-02-28,81.66,SELL,26,0,0
TENB,2025-02-28,37.64,SELL,39,0,0
AVT,2025-02-28,50.37,SELL,9,0,0
FROG,2025-02-28,36.78,BUY,21,0,0
ITRI,2025-02-28,106.0,SELL,30,0,0
ESE,2025-02-28,160.88,BUY,26,0,0
SITM,2025-02-28,152.0,SELL,10,0,0
CLBT,2025-02-28,18.25,SELL,13,0,0
GBTG,2025-02-28,8.17,BUY,1,0,0
SOUN,2025-02-28,9.35,BUY,10,0,0
PYCR,2025-02-28,22.3,BUY,36,0,0
VNET,2025-02-28,10.69,BUY,3,0,0
AI,2025-02-28,23.21,BUY,17,0,0
POWI,2025-02-28,60.55,BUY,16,0,0
NCNO,2025-02-28,30.7,BUY,11,0,0
PLXS,2025-02-28,131.21,BUY,3,0,0
ALIT,2025-02-28,6.78,SELL,19,0,0
DV,2025-02-28,16.94,BUY,16,0,0
PAYO,2025-02-28,8.59,BUY,3,0,0
PAY,2025-02-28,27.02,BUY,24,0,0
CAMT,2025-02-28,73.525,SELL,40,0,0
LIF,2025-02-28,41.52,BUY,28,0,0
RUM,2025-02-28,9.0,BUY,32,0,0
ZI,2025-02-28,11.91,SELL,4,0,0
LPL,2025-02-28,3.29,BUY,6,0,0
AVPT,2025-02-28,13.92,SELL,19,0,0
AMBA,2025-02-28,62.42,BUY,18,0,0
CORZ,2025-02-28,10.48,SELL,11,0,0
SMTC,2025-02-28,34.725,BUY,23,0,0
BLKB,2025-02-28,65.55,SELL,4,0,0
GRND,2025-02-28,17.89,BUY,16,0,0
RGTI,2025-02-28,7.97,BUY,25,0,0
SWI,2025-02-28,18.28,SELL,6,0,0
ASGN,2025-02-28,67.62,BUY,28,0,0
YOU,2025-02-28,22.31,BUY,8,0,0
FIVN,2025-02-28,36.35,BUY,33,0,0
BL,2025-02-28,49.04,BUY,17,0,0
STNE,2025-02-28,9.09,SELL,7,0,0
SYNA,2025-02-28,65.24,BUY,7,0,0
FORM,2025-02-28,32.75,SELL,28,0,0
CNXC,2025-02-28,45.14,BUY,7,0,0
TTMI,2025-02-28,23.96,BUY,2,0,0
VIAV,2025-02-28,11.08,BUY,30,0,0
DIOD,2025-02-28,50.05,SELL,25,0,0
APPN,2025-02-28,32.26,SELL,11,0,0
ODD,2025-02-28,45.3,BUY,2,0,0
PAGS,2025-02-28,7.48,BUY,2,0,0
SEMR,2025-02-28,11.89,BUY,22,0,0
WNS,2025-02-28,56.88,BUY,12,0,0
PRGS,2025-02-28,54.4,SELL,14,0,0
CXM,2025-02-28,8.45,SELL,15,0,0
KLIC,2025-02-28,37.91,SELL,24,0,0
TDC,2025-02-28,23.39,SELL,3,0,0
AGYS,2025-02-28,80.46,SELL,38,0,0
APLD,2025-02-28,7.56,SELL,6,0,0
NATL,2025-02-28,28.15,SELL,28,0,0
RAMP,2025-02-28,29.45,SELL,3,0,0
EVTC,2025-02-28,37.55,SELL,15,0,0
EXTR,2025-02-28,15.4,BUY,4,0,0
ACLS,2025-02-28,55.04,SELL,17,0,0
LSPD,2025-02-28,12.68,BUY,13,0,0
TUYA,2025-02-28,3.41,BUY,18,0,0
QBTS,2025-02-28,5.48,SELL,32,0,0
MQ,2025-02-28,4.115,BUY,12,0,0
JAMF,2025-02-28,14.0,SELL,4,0,0
RUN,2025-02-28,7.915,BUY,6,0,0
NABL,2025-02-28,10.07,SELL,0,0,0
PLUS,2025-02-28,63.73,SELL,12,0,0
ADEA,2025-02-28,15.59,BUY,33,0,0
DAVA,2025-02-28,23.83,BUY,23,0,0
BBAI,2025-02-28,4.99,SELL,10,0,0
GB,2025-02-28,7.32,SELL,3,0,0
UCTT,2025-02-28,25.0,SELL,20,0,0
CSGS,2025-02-28,64.1,SELL,10,0,0
GDYN,2025-02-28,18.97,BUY,1,0,0
ROG,2025-02-28,80.8,BUY,32,0,0
NTCT,2025-02-28,22.41,BUY,16,0,0
CNXN,2025-02-28,62.5,BUY,7,0,0
DBD,2025-02-28,43.2,SELL,4,0,0
SPT,2025-02-28,27.21,SELL,2,0,0
VRNT,2025-02-28,22.25,SELL,9,0,0
SPNS,2025-02-28,27.57,BUY,7,0,0
ATEN,2025-02-28,20.31,SELL,9,0,0
FORTY,2025-02-28,93.2161,SELL,32,0,0
BHE,2025-02-28,39.38,SELL,23,0,0
ENFN,2025-02-28,11.32,SELL,1,0,0
KARO,2025-02-28,45.44,BUY,13,0,0
MXL,2025-02-28,14.4,BUY,1,0,0
PLAB,2025-02-28,20.59,SELL,27,0,0
DFIN,2025-02-28,48.53,BUY,32,0,0
AAOI,2025-02-28,23.288,SELL,8,0,0
MLNK,2025-02-28,18.2,SELL,19,0,0
DSP,2025-02-28,20.85,BUY,24,0,0
EXOD,2025-02-28,41.0,BUY,1,0,0
CRCT,2025-02-28,5.48,BUY,2,0,0
DCBO,2025-02-28,35.54,SELL,20,0,0
HLIT,2025-02-28,10.17,SELL,30,0,0
VTEX,2025-02-28,4.69,SELL,17,0,0
JKS,2025-02-28,22.91,BUY,17,0,0
PSFE,2025-02-28,19.01,SELL,23,0,0
OLO,2025-02-28,6.72,SELL,23,0,0
WOLF,2025-02-28,5.81,BUY,17,0,0
COMM,2025-02-28,6.21,BUY,6,0,0
FSLY,2025-02-28,6.64,BUY,27,0,0
TTGT,2025-02-28,14.58,SELL,13,0,0
BELFA,2025-02-28,83.14,BUY,45,0,0
AIOT,2025-02-28,6.87,SELL,26,0,0
SEDG,2025-02-28,17.42,SELL,3,0,0
BLND,2025-02-28,3.24,SELL,17,0,0
ARRY,2025-02-28,5.67,BUY,28,0,0
TIXT,2025-02-28,2.93,SELL,6,0,0
ML,2025-02-28,86.53,BUY,4,0,0
RDWR,2025-02-28,22.94,BUY,22,0,0
BASE,2025-02-28,17.12,BUY,13,0,0
PDFS,2025-02-28,22.37,SELL,20,0,0
RSKD,2025-02-28,5.15,BUY,28,0,0
ADTN,2025-02-28,10.5,BUY,27,0,0
ETWO,2025-02-28,2.28,SELL,16,0,0
SMWB,2025-02-28,9.27,BUY,22,0,0
YEXT,2025-02-28,6.33,SELL,4,0,0
SSYS,2025-02-28,10.51,SELL,11,0,0
CTLP,2025-02-28,10.02,SELL,3,0,0
MLAB,2025-02-28,136.22,SELL,30,0,0
NTGR,2025-02-28,25.78,SELL,6,0,0
IMOS,2025-02-28,18.7,BUY,27,0,0
CSIQ,2025-02-28,10.84,SELL,12,0,0
ATGL,2025-02-28,31.54,SELL,1,0,0
PUBM,2025-02-28,11.88,BUY,25,0,0
YALA,2025-02-28,3.94,BUY,10,0,0
RCAT,2025-02-28,6.065,BUY,11,0,0
CGNT,2025-02-28,8.81,SELL,20,0,0
RXT,2025-02-28,2.39,SELL,4,0,0
CNDT,2025-02-28,3.58,SELL,18,0,0
NVTS,2025-02-28,2.35,BUY,7,0,0
DMRC,2025-02-28,15.37,BUY,9,0,0
DDD,2025-02-28,3.42,SELL,4,0,0
LYTS,2025-02-28,18.32,SELL,0,0,0
IMXI,2025-02-28,15.8,SELL,1,0,0
CAN,2025-02-28,1.24,SELL,41,0,0
CLMB,2025-02-28,121.0,BUY,8,0,0
BKSY,2025-02-28,14.0,SELL,13,0,0
GRRR,2025-02-28,23.5,SELL,6,0,0
FARO,2025-02-28,30.98,BUY,9,0,0
LASR,2025-02-28,9.39,SELL,8,0,0
BIGC,2025-02-28,7.02,BUY,26,0,0
NNDM,2025-02-28,2.11,BUY,8,0,0
SKYT,2025-02-28,9.07,BUY,26,0,0
OUST,2025-02-28,7.93,BUY,1,0,0
BAND,2025-02-28,16.06,SELL,6,0,0
CLFD,2025-02-28,32.34,SELL,3,0,0
ALNT,2025-02-28,24.95,BUY,21,0,0
GILT,2025-02-28,7.1,BUY,4,0,0
KULR,2025-02-28,1.32,BUY,42,0,0
MITK,2025-02-28,9.45,SELL,25,0,0
AIP,2025-02-28,8.86,SELL,13,0,0
LAES,2025-02-28,2.9,BUY,12,0,0
XPER,2025-02-28,8.31,SELL,7,0,0
TBCH,2025-02-28,16.69,SELL,43,0,0
LSAK,2025-02-28,4.99,SELL,16,0,0
POET,2025-02-28,3.8,SELL,9,0,0
NVEC,2025-02-28,68.56,BUY,50,0,0
BLZE,2025-02-28,6.49,BUY,21,0,0
EGHT,2025-02-28,2.48,BUY,9,0,0
TSSI,2025-02-28,10.24,BUY,11,0,0
MTLS,2025-02-28,5.2,SELL,7,0,0
IBEX,2025-02-28,25.16,BUY,1,0,0
UIS,2025-02-28,4.2,BUY,25,0,0
AUDC,2025-02-28,10.83,SELL,23,0,0
DOMO,2025-02-28,7.68,BUY,17,0,0
EB,2025-02-28,2.49,BUY,0,0,0
EXFY,2025-02-28,3.62,SELL,4,0,0
ASUR,2025-02-28,10.56,SELL,10,0,0
RMNI,2025-02-28,3.41,SELL,0,0,0
LAW,2025-02-28,4.92,BUY,7,0,0
SMRT,2025-02-28,1.23,SELL,9,0,0
TSAT,2025-02-28,17.66,BUY,6,0,0
AVNW,2025-02-28,20.67,SELL,52,0,0
CRNT,2025-02-28,2.75,BUY,2,0,0
ALLT,2025-02-28,5.66,BUY,8,0,0
IMMR,2025-02-28,8.0,SELL,8,0,0
ONTF,2025-02-28,5.56,SELL,9,0,0
PERF,2025-02-28,1.85,BUY,13,0,0
ARBEW,2025-02-28,0.35,BUY,35,0,0
KOPN,2025-02-28,1.34,BUY,5,0,0
HPAI,2025-02-28,6.2144,SELL,6,0,0
MAPS,2025-02-28,1.28,SELL,13,0,0
TLS,2025-02-28,2.91,BUY,36,0,0
ICG,2025-02-28,3.66,BUY,19,0,0
ARBE,2025-02-28,1.86,BUY,14,0,0
AEVA,2025-02-28,3.5,BUY,12,0,0
PCLA,2025-02-28,5.8,BUY,0,0,0
NOTE,2025-02-28,1.2,SELL,10,0,0
GAUZ,2025-02-28,10.63,SELL,25,0,0
BKKT,2025-02-28,11.4,SELL,2,0,0
SANG,2025-02-28,5.62,BUY,0,0,0
SVCO,2025-02-28,6.15,BUY,35,0,0
RELL,2025-02-28,12.92,BUY,8,0,0
MRT,2025-02-28,3.41,SELL,14,0,0
SSTI,2025-02-28,16.41,SELL,24,0,0
TTEC,2025-02-28,3.55,BUY,24,0,0
MX,2025-02-28,4.63,SELL,7,0,0
CCRD,2025-02-28,21.05,SELL,19,0,0
REKR,2025-02-28,1.23,BUY,5,0,0
CSPI,2025-02-28,16.2,BUY,42,0,0
TROO,2025-02-28,1.57,SELL,0,0,0
VOXX,2025-02-28,7.46,BUY,3,0,0
INSG,2025-02-28,10.7,BUY,2,0,0
PAYS,2025-02-28,2.62,SELL,6,0,0
NEON,2025-02-28,8.59,BUY,10,0,0
III,2025-02-28,3.06,BUY,6,0,0
TOYO,2025-02-28,2.9,BUY,15,0,0
EGAN,2025-02-28,4.82,BUY,0,0,0
PSQH,2025-02-28,2.69,BUY,6,0,0
NTCL,2025-02-28,7.3,SELL,13,0,0
MRAM,2025-02-28,5.69,BUY,11,0,0
WBX,2025-02-28,0.44,BUY,3,0,0
DHX,2025-02-28,2.22,BUY,0,0,0
VERI,2025-02-28,2.64,SELL,7,0,0
QH,2025-02-28,1.49,BUY,1,0,0
GPRO,2025-02-28,0.7673,SELL,26,0,0
MPTI,2025-02-28,40.0,BUY,4,0,0
UEIC,2025-02-28,7.86,BUY,2,0,0
CSLR,2025-02-28,1.53,SELL,1,0,0
BKTI,2025-02-28,30.29,BUY,30,0,0
ONDS,2025-02-28,0.9468,BUY,32,0,0
KVHI,2025-02-28,5.8512,BUY,19,0,0
YXT,2025-02-28,1.72,SELL,2,0,0
YIBO,2025-02-28,1.68,BUY,10,0,0
ZEO,2025-02-28,2.05,BUY,2,0,0
CGTL,2025-02-28,3.85,SELL,3,0,0
SATX,2025-02-28,1.09,BUY,26,0,0
WRAP,2025-02-28,2.045,SELL,4,0,0
AXTI,2025-02-28,1.58,SELL,27,0,0
SILC,2025-02-28,16.35,SELL,0,0,0
LPTH,2025-02-28,2.2,BUY,11,0,0
SNCR,2025-02-28,9.01,BUY,27,0,0
ALTS,2025-02-28,5.81,BUY,9,0,0
RSSS,2025-02-28,2.96,SELL,15,0,0
QMCO,2025-02-28,11.38,SELL,8,0,0
GSIT,2025-02-28,2.85,SELL,3,0,0
MAXN,2025-02-28,4.45,SELL,3,0,0
ALOT,2025-02-28,10.76,SELL,7,0,0
RDZN,2025-02-28,0.98,SELL,0,0,0
VEEA,2025-02-28,1.865,SELL,3,0,0
SOL,2025-02-28,1.62,BUY,28,0,0
DM,2025-02-28,2.18,SELL,9,0,0
ZENA,2025-02-28,3.5,BUY,0,0,0
MIND,2025-02-28,8.17,SELL,6,0,0
FKWL,2025-02-28,6.61,SELL,4,0,0
ELTK,2025-02-28,11.51,SELL,12,0,0
LINK,2025-02-28,6.7,BUY,0,0,0
VTSI,2025-02-28,5.92,BUY,6,0,0
JG,2025-02-28,12.17,SELL,0,0,0
AUID,2025-02-28,4.7263,SELL,3,0,0
CMTL,2025-02-28,1.76,SELL,17,0,0
INUV,2025-02-28,0.42,SELL,21,0,0
NUKK,2025-02-28,13.41,BUY,18,0,0
SOTK,2025-02-28,3.665,BUY,8,0,0
AIFF,2025-02-28,4.46,SELL,20,0,0
ALAR,2025-02-28,6.5,BUY,11,0,0
MKFG,2025-02-28,2.6,BUY,3,0,0
CTM,2025-02-28,1.07,BUY,3,0,0
KOSS,2025-02-28,5.35,BUY,18,0,0
OPTX,2025-02-28,1.3131,BUY,16,0,0
SMXT,2025-02-28,1.19,BUY,12,0,0
PXLW,2025-02-28,0.75,BUY,2,0,0
IDN,2025-02-28,2.512,BUY,15,0,0
WCT,2025-02-28,2.67,SELL,17,0,0
WKEY,2025-02-28,4.4,SELL,5,0,0
AIXI,2025-02-28,4.55,BUY,5,0,0
INLX,2025-02-28,12.03,BUY,28,0,0
MOBX,2025-02-28,1.1,SELL,2,0,0
SPRU,2025-02-28,2.43,BUY,4,0,0
USIO,2025-02-28,1.57,BUY,2,0,0
REFR,2025-02-28,1.33,SELL,0,0,0
BMR,2025-02-28,2.5,BUY,2,0,0
ZEPP,2025-02-28,2.55,SELL,2,0,0
MSAI,2025-02-28,1.21,SELL,8,0,0
TACT,2025-02-28,3.9631,SELL,4,0,0
FTCI,2025-02-28,3.09,SELL,1,0,0
MNDO,2025-02-28,2.04,SELL,2,0,0
BEEM,2025-02-28,2.37,BUY,28,0,0
DSWL,2025-02-28,2.44,BUY,10,0,0
HKIT,2025-02-28,1.2484,SELL,10,0,0
OCC,2025-02-28,4.0,SELL,15,0,0
FAAS,2025-02-28,0.53,BUY,20,0,0
EBON,2025-02-28,4.37,SELL,5,0,0
KTCC,2025-02-28,2.94,BUY,6,0,0
ZEOWW,2025-02-28,0.089999,BUY,12,0,0
FCUV,2025-02-28,3.91,SELL,20,0,0
FOXX,2025-02-28,5.37,BUY,12,0,0
AMOD,2025-02-28,1.94,SELL,18,0,0
HTCR,2025-02-28,1.23,BUY,15,0,0
NTWK,2025-02-28,2.5192,SELL,3,0,0
MOGO,2025-02-28,1.06,BUY,9,0,0
DTST,2025-02-28,3.82,SELL,2,0,0
DAIO,2025-02-28,2.75,BUY,7,0,0
BTCT,2025-02-28,3.74,SELL,5,0,0
CREX,2025-02-28,2.05,SELL,23,0,0
HOLO,2025-02-28,0.9755,BUY,7,0,0
NXPL,2025-02-28,0.9391,SELL,6,0,0
LDTC,2025-02-28,0.551,SELL,13,0,0
ORKT,2025-02-28,0.9999,SELL,1,0,0
CPSH,2025-02-28,1.53,SELL,12,0,0
TRT,2025-02-28,6.025,SELL,15,0,0
BOSC,2025-02-28,3.8351,BUY,7,0,0
SMSI,2025-02-28,1.34,BUY,3,0,0
UTSI,2025-02-28,2.4899,SELL,20,0,0
SYNX,2025-02-28,3.7153,BUY,3,0,0
JZ,2025-02-28,0.9679,SELL,23,0,0
VSTE,2025-02-28,0.5736,BUY,9,0,0
BNAI,2025-02-28,0.38,SELL,21,0,0
AGMH,2025-02-28,0.47,BUY,30,0,0
BLIN,2025-02-28,1.34,SELL,7,0,0
SAIH,2025-02-28,0.5875,SELL,3,0,0
CNTM,2025-02-28,0.67,SELL,12,0,0
JDZG,2025-02-28,0.7112,BUY,6,0,0
ELSE,2025-02-28,4.66,SELL,6,0,0
PET,2025-02-28,0.269,BUY,41,0,0
FEBO,2025-02-28,1.26,SELL,15,0,0
IZM,2025-02-28,1.31,BUY,1,0,0
LEDS,2025-02-28,1.79,BUY,23,0,0
CISO,2025-02-28,1.05,BUY,38,0,0
ARBB,2025-02-28,0.6284,SELL,4,0,0
GMM,2025-02-28,3.63,BUY,6,0,0
MLGO,2025-02-28,4.57,SELL,3,0,0
BLBX,2025-02-28,3.03,BUY,11,0,0
BNZI,2025-02-28,1.23,SELL,19,0,0
INTZ,2025-02-28,1.04,BUY,25,0,0
RYDE,2025-02-28,0.3483,BUY,30,0,0
MSN,2025-02-28,0.46,BUY,6,0,0
NXTT,2025-02-28,0.77,BUY,8,0,0
SGMA,2025-02-28,1.36,SELL,9,0,0
DATS,2025-02-28,2.34,SELL,11,0,0
TGL,2025-02-28,0.1535,BUY,8,0,0
ELWS,2025-02-28,2.44,BUY,13,0,0
XTKG,2025-02-28,0.7,SELL,21,0,0
LIDR,2025-02-28,0.61,SELL,6,0,0
SOPA,2025-02-28,1.51,BUY,12,0,0
RVYL,2025-02-28,0.92,BUY,0,0,0
ASNS,2025-02-28,1.03,SELL,2,0,0
LYT,2025-02-28,0.1801,BUY,8,0,0
JNVR,2025-02-28,3.82,BUY,15,0,0
ULY,2025-02-28,0.59,BUY,21,0,0
MITQ,2025-02-28,0.56,SELL,45,0,0
MRIN,2025-02-28,1.7,BUY,26,0,0
VS,2025-02-28,2.14,SELL,0,0,0
OST,2025-02-28,2.4612,BUY,24,0,0
FTFT,2025-02-28,0.21,SELL,4,0,0
IDAI,2025-02-28,2.61,SELL,18,0,0
BOXL,2025-02-28,1.87,BUY,4,0,0
IFBD,2025-02-28,1.81,SELL,15,0,0
WATT,2025-02-28,0.36,SELL,8,0,0
CETX,2025-02-28,1.8,BUY,0,0,0
VVPR,2025-02-28,0.73,SELL,6,0,0
SVRE,2025-02-28,4.47,BUY,7,0,0
PRSO,2025-02-28,0.816,BUY,4,0,0
WLDS,2025-02-28,0.8277,BUY,45,0,0
ASTI,2025-02-28,1.98,BUY,14,0,0
OLB,2025-02-28,1.22,SELL,16,0,0
AUUD,2025-02-28,0.305,BUY,27,0,0
FMTO,2025-02-28,5.22,SELL,16,0,0
SUNE,2025-02-28,0.38,BUY,1,0,0
SYTA,2025-02-28,3.01,SELL,19,0,0
SGN,2025-02-28,1.61,SELL,8,0,0
SOBR,2025-02-28,0.785,SELL,5,0,0
CYN,2025-02-28,5.88,SELL,37,0,0
ATCH,2025-02-28,3.49,BUY,6,0,0
